name,data1,data2,data3
Ambrosi Tynemouth,285,461,353
Nicole Marjanovic,242,493,295
Reinaldo Olivetti,328,350,376
Rodge Sturges,31,303,206
Bernete Jendricke,388,360,229
Rossie Fairlem,423,594,120
Sharl Dipple,54,390,145
Leonora Kiezler,132,502,259
Goldy Priestnall,350,458,260
Skyler De La Cote,358,391,328
Currey Sexten,372,496,164
Bonnie Coronas,74,540,195
Harmony Sant,174,291,395
Malory Rennebeck,295,347,388
Kattie Wyldbore,481,436,136
Zollie Bert,51,254,161
Ingaberg Prosh,380,492,164
Heddie Shuard,202,527,330
Mab Gadeaux,296,278,176
Clarine Kalkhoven,427,487,395
Clerissa Cherry,185,344,380
Arel Stubbin,43,252,235
Juliet Ring,338,437,110
Randy Brownsey,176,313,176
Jeno Garraway,194,537,255
Torie Kippling,112,495,234
Cathe Sawrey,167,487,211
Persis Mainland,388,515,294
Kristofor Maltby,101,586,332
Nelia Hanning,273,532,172
Kimberlyn Amerighi,262,462,289
Raoul Cockton,35,542,277
Reed Arnot,5,558,172
Malcolm Vedishchev,478,263,173
Giles Volkers,165,459,396
Rainer Petruskevich,490,336,297
Debera Adger,127,286,233
Lura Bolsteridge,243,434,372
Tory Kryzhov,349,536,176
Patric Roobottom,137,447,342
Wendall Fuller,386,572,185
Hymie Gloucester,25,504,226
Salvatore Halsted,196,507,277
Celinda Velareal,142,319,276
Mersey Zealey,213,346,132
Griffin Klammt,140,376,386
Niels Pringour,226,399,130
Bale Sheers,375,548,171
Farleigh Cudihy,383,578,252
Clarabelle Lockwood,32,519,307
Polly Stood,473,287,226
Shelba Chatell,93,293,159
Jessee O'Mohun,234,586,222
Paddy Oleksinski,149,260,277
Mariam Petri,315,531,101
Thia Nerney,333,346,143
Almeria Siburn,349,556,215
Trevor Espie,489,325,183
Cori Drowsfield,196,510,338
Ichabod Reckless,141,268,293
Andrea De Gregario,241,595,305
Emmie Crich,387,285,347
Tommie Bointon,320,473,217
Ericha Parker,448,456,197
Bernadene Woodman,182,407,330
Tamar Holah,356,415,159
Fawn Marie,382,359,122
Jemmie Mcsarry,466,558,151
Hetty Barthropp,197,313,305
Eli Dellenty,208,472,350
Lorrie Dow,301,360,100
Burk Raubenheimers,250,339,379
Britte Mullenger,434,330,308
Tonia Pinel,89,581,397
Jim Maruszewski,162,346,227
Merry Gauld,130,574,276
Kin Gainsburgh,372,466,215
Kanya Rew,194,550,226
Carmon Yelding,499,526,177
Byron Leftridge,4,344,308
Berthe Medd,300,449,212
Clemmy Calladine,384,460,352
